dialogue;Enough excuses, Toad.;1487871146497
dialogue;I don't make the rules.;1487871183433
dialogue;What do you want me to do?;1487871214928
dialogue;I'm heading up.;1487871235225
dialogue;Everyone calm down!;1487871321017
dialogue;This is your last warning.;1487871332616
dialogue;Be nice, or I'll make you wait outside.;1487871741409
dialogue;What are you doing here?;1487871760664
dialogue;Are you alright?;1487871767984
dialogue;Are you hurt?;1487871780376
dialogue;[Throw him out];1487871815880
dialogue;How's your insurance?;1487871861136
dialogue;What are you doing?;1487871949512
dialogue;Stop her;1487871985512
dialogue;Make a joke...;1487872026424
dialogue;Beautiful...;1487872064264
dialogue;He hit you.;1487872111735
dialogue;[give her some money];1487872154776
dialogue;I clean up okay.;1487872211824
dialogue;Don't make me come over there.;1487872366183
dialogue;Out pretty late.;1487872394095
dialogue;No. I can't do that.;1487872424767
dialogue;Haven't seen her.;1487872578295
dialogue;C'mon, I'm tired.;1487872748911
dialogue;I won't.;1487872809863
dialogue;I just want some rest.;1487872843727
dialogue;Better to be feared...;1487872857111
dialogue;Don't need advice.;1487872905623
dialogue;There was a girl...;1487872953375
dialogue;[Give Colin a Drink];1487873006471
dialogue;What happened?;1487873075511
dialogue;Just a girl.;1487873176015
