dialogue;Enough excuses, Toad.;1488040876681
dialogue;Not my problem.;1488040900664
dialogue;[Head Upstairs];1488040913680
dialogue;What's going on here?;1488041016320
dialogue;You're drunk...;1488041026728
dialogue;Be nice, or I'll make you wait outside.;1488041148768
dialogue;What happened?;1488041166544
dialogue;You need to leave.;1488041182312
dialogue;What's your name?;1488041199752
dialogue;HEY!;1488041241576
dialogue;How's your insurance?;1488041283912
dialogue;What are you doing?;1488041370624
dialogue;Stop her;1488041406528
dialogue;Light her cigarette...;1488041445688
dialogue;I'm trying to help you.;1488041478280
dialogue;This is about Fabletown.;1488041523887
dialogue;[give her some money];1488041556552
dialogue;Tell me what you really think.;1488041612920
dialogue;Stay off the grass....;1488041804767
dialogue;Out pretty late.;1488041829560
dialogue;I promise.;1488041859880
dialogue;Staying out of this.;1488042075087
dialogue;There's only the one.;1488042241599
dialogue;I won't.;1488042303063
dialogue;[Take a Sip];1488042334271
dialogue;Everyone hates me?;1488042349671
dialogue;Not my fault;1488042401007
dialogue;Toad;1488042446655
dialogue;[Give Colin a Drink];1488042501687
dialogue;What happened?;1488042568367
dialogue;Just a girl.;1488042668191
