dialogue;Silence...;1487878080250
dialogue;...;1487878117386
dialogue;What do you want me to do?;1487878143778
dialogue;What's going on here?;1487878231562
dialogue;This is your last warning.;1487878242338
dialogue;Be nice, or I'll make you wait outside.;1487878367818
dialogue;What are you doing here?;1487878384922
dialogue;[Throw him out];1487878450842
dialogue;Sorry about the car.;1487878494762
dialogue;What are you doing?;1487878582514
dialogue;Stop her;1487878618810
dialogue;Beautiful...;1487878691002
dialogue;This is about Fabletown.;1487878737138
dialogue;[give her some money];1487878770610
dialogue;Silence...;1487878955410
dialogue;Come on out.;1487878996914
dialogue;Out pretty late.;1487879018001
dialogue;I'm staying out of it.;1487879048369
dialogue;Staying out of this.;1487879216993
dialogue;There's only the one.;1487879391225
dialogue;Don't be dramatic.;1487879452377
dialogue;I just want some rest.;1487879483473
dialogue;Everyone hates me?;1487879493433
dialogue;My job;1487879543593
dialogue;There was a girl...;1487879594361
dialogue;[Give Colin a Drink];1487879646777
dialogue;What happened?;1487879714649
dialogue;Just a girl.;1487879813529
