dialogue;Enough excuses, Toad.;1488645653258
dialogue;...;1488645692123
dialogue;[Head Upstairs];1488645718195
dialogue;Everyone calm down!;1488645801411
dialogue;[threaten him];1488645811219
dialogue;Be nice, or I'll make you wait outside.;1488645938147
dialogue;You need to leave.;1488645955403
dialogue;Will you excuse me a moment?;1488646020139
dialogue;How's your insurance?;1488646063387
dialogue;Thanks...;1488646149467
dialogue;Let her;1488646188819
dialogue;Stop changing the subject.;1488646269219
dialogue;This is about Fabletown.;1488646316651
dialogue;[give her some money];1488646349907
dialogue;Silence...;1488646532883
dialogue;Come on out.;1488646583275
dialogue;Out pretty late.;1488646608067
dialogue;I'm staying out of it.;1488646638531
dialogue;Haven't seen her.;1488646817811
dialogue;There's only the one.;1488646978715
dialogue;Tell you what I told Toad...;1488647041523
dialogue;[Take a Sip];1488647075956
dialogue;Better to be feared...;1488647094379
dialogue;My job;1488647143676
dialogue;Silence...;1488647197908
dialogue;[Give Colin a Drink];1488647250083
dialogue;What happened?;1488647317892
dialogue;A working girl.;1488647418036
